dia,open,last,close,symbol,exchange,weekday,high_max,low_min,volume_sum,spline,date
2020-12-25 00:00:00+00:00,271.78880538937455,269.78823287486074,270.30616168581645,HD,IEXG,Friday,272.30621395094744,269.3526145494544,7518899.257908123,1,2020-12-25
2020-12-28 00:00:00+00:00,272.17,269.25,270.92,HD,IEXG,Monday,272.25,269.24,13768535.0,0,2020-12-28
2020-12-29 00:00:00+00:00,269.98,266.19,269.25,HD,IEXG,Tuesday,270.46,265.07,14094660.0,0,2020-12-29
2020-12-30 00:00:00+00:00,266.11,265.26,266.19,HD,IEXG,Wednesday,267.3,264.92,12159807.0,0,2020-12-30
2020-12-31 00:00:00+00:00,265.57,265.62,265.26,HD,IEXG,Thursday,265.95,263.58,12659043.0,0,2020-12-31
2021-01-01 00:00:00+00:00,264.51701044973686,264.5576928769073,265.5614636743878,HD,IEXG,Friday,265.5568106871663,262.2931950390141,18088855.8611808,1,2021-01-01
2021-01-04 00:00:00+00:00,266.01,263.92,265.62,HD,IEXG,Monday,266.46,261.06,23922837.0,0,2021-01-04
2021-01-05 00:00:00+00:00,262.66,266.05,263.92,HD,IEXG,Tuesday,266.53,262.26,26060408.0,0,2021-01-05
2021-01-06 00:00:00+00:00,264.06,267.57,266.05,HD,IEXG,Wednesday,269.77,261.87,25493961.0,0,2021-01-06
2021-01-07 00:00:00+00:00,266.95,266.26,267.57,HD,IEXG,Thursday,268.783,266.17,21875328.0,0,2021-01-07
2021-01-08 00:00:00+00:00,267.35,269.09,266.26,HD,IEXG,Friday,270.7325,267.0,32238363.0,0,2021-01-08
2021-01-11 00:00:00+00:00,267.47,271.23,269.09,HD,IEXG,Monday,273.37,267.26,21831119.0,0,2021-01-11
2021-01-12 00:00:00+00:00,271.11,276.33,271.23,HD,IEXG,Tuesday,277.939,270.655,29542024.0,0,2021-01-12
2021-01-13 00:00:00+00:00,278.31,274.05,276.33,HD,IEXG,Wednesday,280.48,273.94,27559942.0,0,2021-01-13
2021-01-14 00:00:00+00:00,274.5,268.34,274.05,HD,IEXG,Thursday,274.895,267.67,26547973.0,0,2021-01-14
2021-01-15 00:00:00+00:00,268.63,275.59,268.34,HD,IEXG,Friday,276.39,267.44,50030816.0,0,2021-01-15
2021-01-18 00:00:00+00:00,272.00999030137217,276.04463767015307,271.12132590744966,HD,IEXG,Monday,277.41578780720073,270.3918093878565,58076501.94941627,1,2021-01-18
2021-01-19 00:00:00+00:00,278.0,273.19,275.59,HD,IEXG,Tuesday,278.0,273.02,40565901.0,0,2021-01-19
2021-01-20 00:00:00+00:00,273.25,274.3,273.19,HD,IEXG,Wednesday,277.21,271.49,21818539.0,0,2021-01-20
2021-01-21 00:00:00+00:00,276.22,279.05,274.3,HD,IEXG,Thursday,280.7,275.67,52486011.0,0,2021-01-21
2021-01-22 00:00:00+00:00,279.26,284.0,279.05,HD,IEXG,Friday,285.08,277.87,30538415.0,0,2021-01-22
2021-01-25 00:00:00+00:00,283.85,285.08,284.0,HD,IEXG,Monday,285.77,281.42,29659821.0,0,2021-01-25
2021-01-26 00:00:00+00:00,285.42,282.6,285.08,HD,IEXG,Tuesday,285.65,281.67,24792878.0,0,2021-01-26
2021-01-27 00:00:00+00:00,279.99,274.05,282.6,HD,IEXG,Wednesday,280.8099,273.08,29394905.0,0,2021-01-27
2021-01-28 00:00:00+00:00,276.17,278.05,274.05,HD,IEXG,Thursday,282.96,274.93,30736139.0,0,2021-01-28
2021-01-29 00:00:00+00:00,275.81,270.82,278.05,HD,IEXG,Friday,277.53,270.03,24477527.0,0,2021-01-29
2021-02-01 00:00:00+00:00,271.23,270.07,270.82,HD,IEXG,Monday,272.65,267.2533,24741371.0,0,2021-02-01
2021-02-02 00:00:00+00:00,270.0,272.16,270.07,HD,IEXG,Tuesday,275.69,269.99,30746912.0,0,2021-02-02
2021-02-03 00:00:00+00:00,271.89,274.17,272.16,HD,IEXG,Wednesday,275.72,270.715,23115345.0,0,2021-02-03
2021-02-04 00:00:00+00:00,274.25,278.82,274.17,HD,IEXG,Thursday,279.44,274.02,32542957.0,0,2021-02-04
2021-02-05 00:00:00+00:00,280.29,278.86,278.82,HD,IEXG,Friday,281.7599,277.81,20487881.0,0,2021-02-05
2021-02-08 00:00:00+00:00,279.69,280.03,278.86,HD,IEXG,Monday,280.4194,276.8895,24338599.0,0,2021-02-08
2021-02-09 00:00:00+00:00,279.66,276.77,280.03,HD,IEXG,Tuesday,280.2,276.62,17917992.0,0,2021-02-09
2021-02-10 00:00:00+00:00,278.03,278.69,276.77,HD,IEXG,Wednesday,278.93,276.25,20505089.0,0,2021-02-10
2021-02-11 00:00:00+00:00,277.93,277.06,278.69,HD,IEXG,Thursday,280.25,276.01,20395059.0,0,2021-02-11
2021-02-12 00:00:00+00:00,277.12,277.51,277.06,HD,IEXG,Friday,278.71,276.58,13678007.0,0,2021-02-12
2021-02-15 00:00:00+00:00,275.57180418838044,277.041592846504,276.7302327940622,HD,IEXG,Monday,279.1844659427742,274.3268399354623,12418651.33625361,1,2021-02-15
2021-02-16 00:00:00+00:00,277.01,275.39,277.51,HD,IEXG,Tuesday,278.77,274.88,17598072.0,0,2021-02-16
2021-02-17 00:00:00+00:00,275.54,280.92,275.39,HD,IEXG,Wednesday,281.79,274.88,24798003.0,0,2021-02-17
2021-02-18 00:00:00+00:00,280.8,283.05,280.92,HD,IEXG,Thursday,284.68,279.13,26952536.0,0,2021-02-18
2021-02-19 00:00:00+00:00,282.87,279.64,283.05,HD,IEXG,Friday,283.91,279.44,24184194.0,0,2021-02-19
2021-02-22 00:00:00+00:00,278.21,275.85,279.64,HD,IEXG,Monday,278.99,273.63,36335901.0,0,2021-02-22
2021-02-23 00:00:00+00:00,269.38,267.24,275.85,HD,IEXG,Tuesday,269.99,257.58,143525559.0,0,2021-02-23
2021-02-24 00:00:00+00:00,263.23,259.97,267.24,HD,IEXG,Wednesday,269.42,254.03,124207287.0,0,2021-02-24
2021-02-25 00:00:00+00:00,259.75,255.25,259.97,HD,IEXG,Thursday,261.01,254.71,72660816.0,0,2021-02-25
2021-02-26 00:00:00+00:00,257.77,258.34,255.25,HD,IEXG,Friday,260.24,256.09,61660181.0,0,2021-02-26
2021-03-01 00:00:00+00:00,258.81,261.62,258.34,HD,IEXG,Monday,262.48,258.41,34557539.0,0,2021-03-01
2021-03-02 00:00:00+00:00,260.23,260.545,261.62,HD,IEXG,Tuesday,263.08,259.93,27844293.0,0,2021-03-02
2021-03-03 00:00:00+00:00,257.47,257.62,260.29,HD,IEXG,Wednesday,260.65,256.04,25221678.0,0,2021-03-03
2021-03-04 00:00:00+00:00,250.85,250.14,257.36,HD,IEXG,Thursday,256.815,247.15,51971558.0,0,2021-03-04
2021-03-05 00:00:00+00:00,253.52,253.935,250.93,HD,IEXG,Friday,254.17,246.59,37056509.0,0,2021-03-05
2021-03-08 00:00:00+00:00,258.91,259.77,253.52,HD,IEXG,Monday,263.19,252.57,22773531.0,0,2021-03-08
2021-03-09 00:00:00+00:00,264.99,265.57,259.03,HD,IEXG,Tuesday,267.555,259.75,65682844.0,0,2021-03-09
2021-03-10 00:00:00+00:00,266.23,267.575,264.96,HD,IEXG,Wednesday,268.74,264.13,16318293.0,0,2021-03-10
2021-03-11 00:00:00+00:00,268.86,268.86,268.86,HD,IEXG,Thursday,270.77,267.29,0.0,0,2021-03-11
2021-03-12 00:00:00+00:00,273.01,273.01,273.01,HD,IEXG,Friday,273.79,267.03,0.0,0,2021-03-12
2021-03-15 00:00:00+00:00,278.6,278.65,273.1,HD,IEXG,Monday,279.64,273.89,41980617.0,0,2021-03-15
2021-03-16 00:00:00+00:00,282.095,282.19,278.54,HD,IEXG,Tuesday,282.53,277.7,38501831.0,0,2021-03-16
2021-03-17 00:00:00+00:00,280.01,280.05,282.08,HD,IEXG,Wednesday,283.84,279.25,41989160.0,0,2021-03-17
